             Mean	          Average	          Std dev	          Mimimum	          Maximum	# Occurrences	# Books	Letterpairs
0.00175055033395692	0.00187560542312346	0.00058186485647146	0.00084574974506686	0.00479148362313806	120	120	AM	AM
0.00174992084266906	0.00183950751736736	0.00050785435782482	0.00088070659767798	0.00496151473703972	120	120	IG	IG
0.00171224550752624	0.00178890907916028	0.00065322182221308	0.00054370536009590	0.00358114606339740	120	120	KE	KE
0.00167212785270778	0.00184261685335384	0.00070695268498592	0.00073557957540712	0.00485090173203976	120	120	SA	SA
0.00167008043990747	0.00179420003085398	0.00048363591747363	0.00099455256436337	0.00324548849577007	120	120	NI	NI
0.00165188479079107	0.00168766674407190	0.00055370379893247	0.00054409037404625	0.00406134312547492	120	120	AY	AY
0.00164737852792297	0.00174953854389102	0.00069204691067798	0.00055099157770017	0.00393733917364596	120	120	W 	W Space
0.00162453725018997	0.00168375025298324	0.00044593884141992	0.00087022352647353	0.00330012069012810	120	120	RY	RY
0.00161262896740248	0.00163971122898345	0.00040851556078870	0.00084091688938077	0.00303317001989638	120	120	MI	MI
0.00159995462462512	0.00167257085096609	0.00060513387640561	0.00075221097223917	0.00520802459203807	120	120	WO	WO
0.00159252372097459	0.00172692969615574	0.00077457134690980	0.00049390130666530	0.00479559890696538	120	120	K 	K Space
0.00157691806276598	0.00182885695937782	0.00100320973899280	0.00014904930712214	0.00624319028266282	120	120	CT	CT
0.00156571363536594	0.00169667565095543	0.00063194565870301	0.00042341663349903	0.00499206654983988	120	120	SU	SU
0.00154791738391287	0.00159604552020111	0.00042383060628705	0.00077109371783210	0.00296858871484219	120	120	AV	AV
0.00150245593759029	0.00165928578698319	0.00061056093446507	0.00076098340152046	0.00582678032275959	120	120	FI	FI
0.00147247480656119	0.00148477339065152	0.00034652342646290	0.00066765191198287	0.00297523438619728	120	120	EV	EV
0.00146317881111207	0.00206789571857740	0.00191516410876017	0.00000000000000000	0.00748117960703254	119	120	I 	I Space
0.00146086607747950	0.00148178668030214	0.00041550622628418	0.00059142949497003	0.00255139486038052	120	120	BU	BU
0.00145002667147505	0.00146830748751648	0.00035015084609515	0.00063240283316469	0.00247625448821126	120	120	FR	FR
0.00142629138039259	0.00146078471055409	0.00040949996162365	0.00030485997611930	0.00288540303945422	120	120	FE	FE
0.00139806175524398	0.00148110870476310	0.00050586237047713	0.00067718985248684	0.00467240255066180	120	120	BL	BL
0.00138947722361683	0.00148075654161358	0.00070167233202715	0.00027795681598453	0.00454808727035709	120	120	NA	NA
0.00138317187573864	0.00150294974499909	0.00042656959508422	0.00081001789411144	0.00310676925639386	120	120	PL	PL
0.00137297541488217	0.00140434379753826	0.00040488845192352	0.00048995009621197	0.00304721640181226	120	120	RD	RD
0.00136235141854841	0.00146700054614289	0.00059580350096978	0.00067279003100684	0.00477960336835176	120	120	BO	BO
0.00134517479908292	0.00136986466152705	0.00037955632660072	0.00042910397725749	0.00235787267487556	120	120	IV	IV
0.00134350115312650	0.00161243671510544	0.00087441587537803	0.00043403308432468	0.00661292458451963	120	120	DO	DO
0.00134168087408082	0.00142084642104863	0.00050251946763846	0.00035185829842824	0.00325383712142857	120	120	 V	Space V
0.00131126324035285	0.00141158762772635	0.00055877200222360	0.00034296747313421	0.00350826351932838	120	120	TU	TU
0.00129979356219894	0.00202449243916794	0.00192300829124893	0.00009518877224231	0.01062362966479058	120	120	 Y	Space Y
0.00128904360817288	0.00131979595248903	0.00038973566008452	0.00051021704336633	0.00251045452679870	120	120	AB	AB
0.00127805735282371	0.00127473963827375	0.00048251961267876	0.00027877609758670	0.00301963874750213	120	120	VI	VI
0.00125731027879990	0.00124954610309075	0.00044110072719274	0.00041202810447163	0.00237937251590158	120	120	HT	HT
0.00125563504508036	0.00130972124307673	0.00046315126256489	0.00042946588006600	0.00384071635638557	120	120	GR	GR
0.00124835638911601	0.00136723600992850	0.00068289253383127	0.00048078396827471	0.00743519608424297	120	120	TT	TT
0.00123113484907879	0.00126089771114711	0.00044191873635450	0.00033905201057842	0.00252780336524122	120	120	EI	EI
0.00122626274838297	0.00122838506654728	0.00029745612899601	0.00041494830082905	0.00205150428280332	120	120	AG	AG
0.00121146590671218	0.00123325136226874	0.00046203417079893	0.00027135299503279	0.00276843874763606	120	120	EY	EY
0.00119968707070480	0.00122260457674225	0.00035289753001126	0.00031967955829177	0.00242999442879326	120	120	IF	IF
0.00116918561593110	0.00130053869657674	0.00085711335592505	0.00008042949349526	0.00448165156441676	120	120	IA	IA
0.00115823947599649	0.00119511641681591	0.00032003432955021	0.00054061455029480	0.00273569439232030	120	120	FA	FA
0.00113093127605727	0.00117862549691962	0.00031061626045359	0.00049539746119387	0.00254700461644587	120	120	AP	AP
0.00111564952008630	0.00115788008866714	0.00040539582164850	0.00044453485831393	0.00257657912378069	120	120	BY	BY
0.00111238113194207	0.00118398950574574	0.00045001980230095	0.00018842040190707	0.00305351444535462	120	120	OD	OD
0.00110783006650801	0.00118552992421881	0.00061518021039415	0.00020774612300816	0.00356950621830647	120	120	CI	CI
0.00109114344250811	0.00115657766471340	0.00037383862728832	0.00064612587433603	0.00324371795234992	120	120	OP	OP
0.00107266251839319	0.00114840474938552	0.00039441782205540	0.00044463076590825	0.00353982300884956	120	120	SP	SP
0.00105241079346622	0.00106994296828858	0.00027693706397080	0.00059353423340170	0.00236148340115717	120	120	OV	OV
0.00104506317425707	0.00106066900243890	0.00040531412011471	0.00044014622635742	0.00392696212381693	120	120	RN	RN
0.00104431972712451	0.00113740211316189	0.00046560337092248	0.00031219787302610	0.00260286588411588	120	120	MP	MP
0.00102955334392245	0.00113571830210012	0.00056447097661767	0.00021247060823253	0.00313226347351686	120	120	 K	Space K
0.00101662536238225	0.00107138209919478	0.00056187025331370	0.00010164224832653	0.00364716889597339	120	120	GO	GO
0.00098769538881819	0.00104435561723396	0.00029782567787626	0.00054431642928422	0.00244939432126517	120	120	EP	EP
0.00097508668255479	0.00099761922349339	0.00027406357687924	0.00031332830878928	0.00182306851922600	120	120	UG	UG
0.00097309031026610	0.00101585925490817	0.00034714438199165	0.00047051159087208	0.00253761223410310	120	120	DS	DS
0.00097197579615526	0.00100094810651066	0.00028148822055587	0.00043930446864592	0.00181731067964799	120	120	UP	UP
0.00097040887611157	0.00100819973683057	0.00029037005909437	0.00028368914444435	0.00178599904321480	120	120	GA	GA
0.00096894127144608	0.00107241346717149	0.00045082755074326	0.00024256705246379	0.00286127085753137	120	120	TY	TY
0.00095825254049538	0.00106672964191212	0.00061265922027675	0.00019830590101703	0.00438842541486455	120	120	CK	CK
0.00095242303292733	0.00099790835841965	0.00033748254977288	0.00017263048525300	0.00234721499323769	120	120	DA	DA
0.00094637097581986	0.00109692023393866	0.00051534347937344	0.00026286510740791	0.00292423113999877	120	120	P 	P Space
0.00094140406154082	0.00103675709801197	0.00064477665984472	0.00025982919755076	0.00634169277758241	120	120	EX	EX
0.00091427814684224	0.00098388590485988	0.00038466784968514	0.00034611249392462	0.00229035276211764	120	120	BA	BA
0.00090654126179212	0.00097375612686582	0.00034077762298497	0.00028053594218589	0.00238860494932996	120	120	PI	PI
0.00089624676342051	0.00097666005744407	0.00032548368835832	0.00046862671200489	0.00210292085926324	120	120	UC	UC
0.00089436366486257	0.00092075232545500	0.00024025391851779	0.00038886204824246	0.00180507173739373	120	120	EF	EF
0.00088262555616812	0.00158998541124362	0.00180941347678268	0.00003902347652348	0.00999434555884727	120	120	YO	YO
0.00085247963980666	0.00094968359065316	0.00038063927343468	0.00031162355874104	0.00274156384149806	120	120	BR	BR
0.00085199806638737	0.00090549996586189	0.00030191885606163	0.00039916538147510	0.00264393278010619	120	120	GI	GI
0.00084831778396174	0.00086467512948065	0.00036856849194084	0.00020777619152943	0.00217291399078515	120	120	LS	LS
0.00084595620847261	0.00094964681039812	0.00049541601249777	0.00031816973794043	0.00337831862320250	120	120	RM	RM
0.00084042280907504	0.00093029805863436	0.00047916945390355	0.00042946588006600	0.00370175916633991	120	120	CR	CR
0.00083877019513989	0.00089203046650855	0.00029709828049261	0.00040011551722191	0.00212784953276591	120	120	TL	TL
0.00082391201548026	0.00086653136440322	0.00031112850553458	0.00033314243149057	0.00270297339593114	120	120	QU	QU
0.00082165945799886	0.00085707761482830	0.00024303461705642	0.00033995297317204	0.00169142968398253	120	120	RR	RR
0.00081590020191856	0.00085185946207335	0.00027071281871223	0.00038618859057482	0.00173321547980477	120	120	RU	RU
0.00081424669048119	0.00085973091438160	0.00031180702838145	0.00026987043422572	0.00190864921155378	120	120	AK	AK
0.00081362647469799	0.00081691425272351	0.00019247357962941	0.00031613889035249	0.00153864154917218	120	120	PP	PP
0.00077839941620044	0.00084268190956544	0.00030992407741409	0.00029937403610632	0.00230550433108914	120	120	CL	CL
0.00077289800635654	0.00087540732166963	0.00044214739537229	0.00021657772541410	0.00299064923671986	120	120	SC	SC
0.00077101114899644	0.00082342401072274	0.00034205745980910	0.00018392406840039	0.00222521598670232	120	120	KI	KI
0.00076656145234968	0.00083113517760889	0.00038989835985086	0.00029384507583463	0.00243361131393874	120	120	CU	CU
0.00074680304487672	0.00079250394557174	0.00035387890212474	0.00017218597582659	0.00280075640866511	120	120	UE	UE
0.00073402791538863	0.00073742210499830	0.00028972932833019	0.00009738582570478	0.00207399213858218	120	120	AU	AU
0.00071943747224237	0.00082181181249438	0.00043665473245413	0.00010416046663889	0.00281231759732565	120	120	LU	LU
0.00071636958223117	0.00070152619491018	0.00031146141497585	0.00008699140234973	0.00157727383319490	120	120	VA	VA
0.00071570332121468	0.00076764480268341	0.00027438342326610	0.00034565152297678	0.00197989577672751	120	120	FF	FF
0.00071333138938174	0.00074674854825034	0.00024429507472394	0.00031513008723723	0.00175050538784585	120	120	MU	MU
0.00070412248735014	0.00075076204763411	0.00036602921976778	0.00024128848048579	0.00279044732145387	120	120	OC	OC
0.00069350768025760	0.00071011487193383	0.00022564151842577	0.00020328449665307	0.00156746605027449	120	120	DR	DR
0.00068896972653836	0.00072010340441480	0.00031016441089635	0.00016724652679300	0.00311599681248851	120	120	WN	WN
0.00068229805360650	0.00119141745025076	0.00134432352084740	0.00000000000000000	0.00741393729798151	119	120	U 	U Space
0.00066401450886328	0.00079689399575570	0.00043556139671656	0.00020343120634705	0.00228413026019223	120	120	UM	UM
0.00065846359254546	0.00072611794639468	0.00031580773450057	0.00016373704395352	0.00204773883834066	120	120	YE	YE
0.00065839628525885	0.00079925929003484	0.00050102236505509	0.00013448912472032	0.00320794425941440	120	120	 J	Space J
0.00064931166292719	0.00066964413697757	0.00023370277412518	0.00020890588366483	0.00171200838229241	120	120	FU	FU
0.00064893053894563	0.00067677981005885	0.00021681095622518	0.00014164707215502	0.00214442181315092	120	120	FT	FT
0.00064032511440475	0.00067685709008646	0.00020741731610839	0.00029196752422769	0.00142979792412049	120	120	UI	UI
0.00061775634583291	0.00064025792219338	0.00021551483551119	0.00012914207321720	0.00130769702294600	120	120	NY	NY
0.00059768633942253	0.00069488163851343	0.00048012630047545	0.00024144392578712	0.00367668303958394	120	120	HR	HR
0.00059762632108780	0.00063222238991856	0.00029527178652723	0.00012414752036019	0.00228496682926669	120	120	HU	HU
0.00059285197815867	0.00063472340128274	0.00023875144528033	0.00023232513903208	0.00165505404466603	120	120	EW	EW
0.00057958796564624	0.00062017235700360	0.00024084544002255	0.00020225368390639	0.00194023437604251	120	120	LT	LT
0.00057004288894117	0.00064846591124935	0.00050752986955442	0.00008287938036361	0.00476120859625346	120	120	UA	UA
0.00056579049205091	0.00064831691979342	0.00045163402847635	0.00025617263021481	0.00367130482600949	120	120	EG	EG
0.00056485738484634	0.00064001645543930	0.00038985445031505	0.00008713195128654	0.00322865716387148	120	120	RC	RC
0.00055361789293030	0.00056572183397568	0.00018769180483180	0.00014962178154373	0.00136010811560053	120	120	MS	MS
0.00055160863699500	0.00060284922333996	0.00024845931017425	0.00020890588366483	0.00187345828046101	120	120	YS	YS
0.00055010600357260	0.00065568709047277	0.00041398012481596	0.00023587045268983	0.00328621207399643	120	120	OI	OI
0.00054666906302420	0.00058549628557099	0.00035221294353255	0.00009103457620229	0.00270545907816085	120	120	DU	DU
0.00052631518988928	0.00058038846160970	0.00025775508084151	0.00016575876072723	0.00149042654991659	120	120	MB	MB
0.00052188283730303	0.00055435856964872	0.00024689657604192	0.00017739154699381	0.00177711153739204	120	120	TW	TW
0.00052132990789838	0.00057298256059542	0.00032041196440505	0.00019683102056884	0.00252276547290979	120	120	RL	RL
0.00051847509404726	0.00055750315028433	0.00023122280097709	0.00005292707918738	0.00140444641759443	120	120	PT	PT
0.00050610837734639	0.00059842082749207	0.00032042358652885	0.00022993791676247	0.00278396436525612	120	120	PU	PU
0.00050079980675019	0.00052920735222040	0.00021739263464958	0.00014164707215502	0.00190098417093889	120	120	AF	AF
