             Mean	          Average	          Std dev	          Mimimum	          Maximum	# Occurances	# Books	Lettertriplets
0.00000000000000000	0.00000001164959419	0.00000012708206923	0.00000000000000000	0.00000139795130237	  1	120	HDD
0.00000000000000000	0.00000001164959419	0.00000012708206923	0.00000000000000000	0.00000139795130237	  1	120	HMB
0.00000000000000000	0.00000001164959419	0.00000012708206923	0.00000000000000000	0.00000139795130237	  1	120	HZU
0.00000000000000000	0.00000001164959419	0.00000012708206923	0.00000000000000000	0.00000139795130237	  1	120	IHK
0.00000000000000000	0.00000001164959419	0.00000012708206923	0.00000000000000000	0.00000139795130237	  1	120	IHZ
0.00000000000000000	0.00000001164959419	0.00000012708206923	0.00000000000000000	0.00000139795130237	  1	120	UAX
0.00000000000000000	0.00000001164959419	0.00000012708206923	0.00000000000000000	0.00000139795130237	  1	120	UHP
0.00000000000000000	0.00000001164959419	0.00000012708206923	0.00000000000000000	0.00000139795130237	  1	120	YUO
0.00000000000000000	0.00000001164959419	0.00000012708206923	0.00000000000000000	0.00000139795130237	  1	120	ZUH
0.00000000000000000	0.00000001158437216	0.00000008898268512	0.00000000000000000	0.00000069897565118	  2	120	ZME
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	CMU
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	DBC
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	EEQ
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	FGO
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	FHO
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	GFA
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	GSN
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	IGJ
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	JCH
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	KGN
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	KTW
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	LKC
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	LKJ
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	LTB
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	MCU
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	MRK
0.00000000000000000	0.00000001151915013	0.00000012565909253	0.00000000000000000	0.00000138229801516	  1	120	NV 
